,Unnamed: 0,tweet,sentiment,lang,tweet_without_stopwords
22,638203,who will win the election biden2020 trump election2020,1,en,"['win', 'election', 'biden2020', 'trump', 'election2020']"
24,623853,those are not votes for biden they are votes against trump people actually voted for obama,0,en,"['votes', 'biden', 'votes', 'trump', 'people', 'actually', 'voted', 'obama']"
25,496620,predicting trump victory and below results for biden,0,en,"['predicting', 'trump', 'victory', 'results', 'biden']"
26,248487,rick gates convicted paul manafort convicted george papadopoulos convicted mike flynn convicted michael cohen convicted roger stone convicted steve bannon arrested donald trump impeached next no one got arrested when obama was in office,0,en,"['rick', 'gates', 'convicted', 'paul', 'manafort', 'convicted', 'george', 'papadopoulos', 'convicted', 'mike', 'flynn', 'convicted', 'michael', 'cohen', 'convicted', 'roger', 'stone', 'convicted', 'steve', 'bannon', 'arrested', 'donald', 'trump', 'impeached', 'next', 'one', 'got', 'arrested', 'obama', 'office']"
28,108925,oub329 interesting third week with trump comparisons with charismatic leaders going to be interesting come november 3rd donaldtrump leadership debates2020,1,en,"['oub329', 'interesting', 'third', 'week', 'trump', 'comparisons', 'charismatic', 'leaders', 'going', 'interesting', 'come', 'november', '3rd', 'donaldtrump', 'leadership', 'debates2020']"
29,691869,ridiculous what did my fellow hispanics fall for want a wall great want to stop the hispanic invasion trump warned about that led to a young white male driving to el paso to murder mexicans that s life under trump,1,en,"['ridiculous', 'fellow', 'hispanics', 'fall', 'want', 'wall', 'great', 'want', 'stop', 'hispanic', 'invasion', 'trump', 'warned', 'led', 'young', 'white', 'male', 'driving', 'el', 'paso', 'murder', 'mexicans', 'life', 'trump']"
31,333765,omg guuuuyz billieeilish is like destroying our country who would have guessed a teen pop singer could make our nation crumble not covid19 not authoritarian trump a pop star go billie,-1,en,"['omg', 'guuuuyz', 'billieeilish', 'like', 'destroying', 'country', 'would', 'guessed', 'teen', 'pop', 'singer', 'could', 'make', 'nation', 'crumble', 'covid19', 'authoritarian', 'trump', 'pop', 'star', 'go', 'billie']"
33,109486,trump pushes ag barr to start probe into hunter biden s potentially corrupt business dealings,-1,en,"['trump', 'pushes', 'ag', 'barr', 'start', 'probe', 'hunter', 'biden', 'potentially', 'corrupt', 'business', 'dealings']"
34,13321,trump scotus guncontrol do the math neveragain marchforourlives,0,en,"['trump', 'scotus', 'guncontrol', 'math', 'neveragain', 'marchforourlives']"
35,231447,just released be sure to like share subscribe and alert afternoons lalate great news mcconell vs trump watch video now here 3 mcconell vs trump amp unemployment benefits pua ui fpuc and lwa purplepower lalate 11,1,en,"['released', 'sure', 'like', 'share', 'subscribe', 'alert', 'afternoons', 'lalate', 'great', 'news', 'mcconell', 'vs', 'trump', 'watch', 'video', '3', 'mcconell', 'vs', 'trump', 'amp', 'unemployment', 'benefits', 'pua', 'ui', 'fpuc', 'lwa', 'purplepower', 'lalate', '11']"
36,873986,off he went with a trumpety trump trump trump trump uselection trump trumptantrum,0,en,"['went', 'trumpety', 'trump', 'trump', 'trump', 'trump', 'uselection', 'trump', 'trumptantrum']"
37,365689,don t tell me americans still trust this idiot what a stupid insult to everyone who is working in the health care trump is a cat in a corner who makes strange jumps he is really desperate the loser healthcareworkers trumpisaloser republicans,-1,en,"['tell', 'americans', 'still', 'trust', 'idiot', 'stupid', 'insult', 'everyone', 'working', 'health', 'care', 'trump', 'cat', 'corner', 'makes', 'strange', 'jumps', 'really', 'desperate', 'loser', 'healthcareworkers', 'trumpisaloser', 'republicans']"
38,111390,hey conservatives the lockdowns w its massive suffering are under trump,0,en,"['hey', 'conservatives', 'lockdowns', 'w', 'massive', 'suffering', 'trump']"
39,629814,lookslike joebiden will win michigan if so that state s total electoralcollege votes amp help increase biden s 238 numbers trump numbers now 213,1,en,"['lookslike', 'joebiden', 'win', 'michigan', 'state', 'total', 'electoralcollege', 'votes', 'amp', 'help', 'increase', 'biden', '238', 'numbers', 'trump', 'numbers', '213']"
40,420119,healthtips healthylifestyle doyoung bitcoins fiverr trump happybirthdaysrk healthcare biden biggestcrush,0,en,"['healthtips', 'healthylifestyle', 'doyoung', 'bitcoins', 'fiverr', 'trump', 'happybirthdaysrk', 'healthcare', 'biden', 'biggestcrush']"
41,532798,ok with all of the election tweets i had to share s post thank you for the smile on this stressful night trump biden or travel it s 2020 election night you decide,1,en,"['ok', 'election', 'tweets', 'share', 'post', 'thank', 'smile', 'stressful', 'night', 'trump', 'biden', 'travel', '2020', 'election', 'night', 'decide']"
42,736098,kumericainvasion donaldtrump joypeacecampaign,0,en,"['kumericainvasion', 'donaldtrump', 'joypeacecampaign']"
43,620939,a nation divided v4 stanza 2 of 2 a combustible chaos yet so much in common under the thin surface love needed in these times now more than ever to heal our brokenness our hurting nation state electionday devotional poem poetry proverbs15 1b america trump biden,1,en,"['nation', 'divided', 'v4', 'stanza', '2', '2', 'combustible', 'chaos', 'yet', 'much', 'common', 'thin', 'surface', 'love', 'needed', 'times', 'ever', 'heal', 'brokenness', 'hurting', 'nation', 'state', 'electionday', 'devotional', 'poem', 'poetry', 'proverbs15', '1b', 'america', 'trump', 'biden']"
45,868734,did they take trump seriously and stop the counting for him he s struck at 214 uselection elections biden trump,-1,en,"['take', 'trump', 'seriously', 'stop', 'counting', 'struck', '214', 'uselection', 'elections', 'biden', 'trump']"
47,845959,as for his enablers in his party and at the voting booth nobody can ever cause such mayhem alone it s those that excused his madness and toadied to him that made it possible shame on each and very one of them trump enablers cowardice and complicity,1,en,"['enablers', 'party', 'voting', 'booth', 'nobody', 'ever', 'cause', 'mayhem', 'alone', 'excused', 'madness', 'toadied', 'made', 'possible', 'shame', 'one', 'trump', 'enablers', 'cowardice', 'complicity']"
48,328924,trump paid only 750 in taxes after he became president this is the same man who once deducted 70 000 for hairstyling expenses,0,en,"['trump', 'paid', '750', 'taxes', 'became', 'president', 'man', 'deducted', '70', '000', 'hairstyling', 'expenses']"
49,873371,hope we europeans wake up to good news tomorrow trump has a lot of armed and gullible followers election2020results trump biden usaelection2020,1,en,"['hope', 'europeans', 'wake', 'good', 'news', 'tomorrow', 'trump', 'lot', 'armed', 'gullible', 'followers', 'election2020results', 'trump', 'biden', 'usaelection2020']"
50,280585,dylan lynch lynch on tiktok the 94 yr old has spoken punch him in the balls donaldtrump vote joebiden kamalaharris grandmasagainsttrump grandma balls,1,en,"['dylan', 'lynch', 'lynch', 'tiktok', '94', 'yr', 'old', 'spoken', 'punch', 'balls', 'donaldtrump', 'vote', 'joebiden', 'kamalaharris', 'grandmasagainsttrump', 'grandma', 'balls']"
51,61911,romney blaststrump for not condemning qanon senmittromney r ut blasted trump s refusal to condemn qanon during an nbc town hall said romney trump s unwillingness to denounce an absurd amp dangerous conspiracy theory last night,-1,en,"['romney', 'blaststrump', 'condemning', 'qanon', 'senmittromney', 'r', 'ut', 'blasted', 'trump', 'refusal', 'condemn', 'qanon', 'nbc', 'town', 'hall', 'said', 'romney', 'trump', 'unwillingness', 'denounce', 'absurd', 'amp', 'dangerous', 'conspiracy', 'theory', 'last', 'night']"
52,461894,pence trump s second term will be nothing like his first what his supporters want to know,1,en,"['pence', 'trump', 'second', 'term', 'nothing', 'like', 'first', 'supporters', 'want', 'know']"
54,221003,seems suspect to me that 1 week before the election amid failed stimulus talks my family receives a notice from the irs for additional taxes due from 2017 do me a favor and tell them we prepaid prepaid thiscountryisdone trump irs,-1,en,"['seems', 'suspect', '1', 'week', 'election', 'amid', 'failed', 'stimulus', 'talks', 'family', 'receives', 'notice', 'irs', 'additional', 'taxes', 'due', '2017', 'favor', 'tell', 'prepaid', 'prepaid', 'thiscountryisdone', 'trump', 'irs']"
55,295374,maga trumphatesseniors trump covid19,0,en,"['maga', 'trumphatesseniors', 'trump', 'covid19']"
57,53838,mi started with obama trump trying to put out all the previous democrat and liberal instigated fires,-1,en,"['mi', 'started', 'obama', 'trump', 'trying', 'put', 'previous', 'democrat', 'liberal', 'instigated', 'fires']"
58,902237,trumpknew trumpcoveredup trump denied dithered dismissed covid19 killed236642 90pcnt preventable trump murdered 212978americans now w a new president we have a chance to save lives rather than having trump cont the serial killing repaoc housedemwomen repraskin,1,en,"['trumpknew', 'trumpcoveredup', 'trump', 'denied', 'dithered', 'dismissed', 'covid19', 'killed236642', '90pcnt', 'preventable', 'trump', 'murdered', '212978americans', 'w', 'new', 'president', 'chance', 'save', 'lives', 'rather', 'trump', 'cont', 'serial', 'killing', 'repaoc', 'housedemwomen', 'repraskin']"
59,695589,oups another freakout trump fail realdonaldtrump big legal win in pennsylvania,1,en,"['oups', 'another', 'freakout', 'trump', 'fail', 'realdonaldtrump', 'big', 'legal', 'win', 'pennsylvania']"
60,160534,is nepo barbie princess shambassador who got all those trademarks from china during trade negotiations sitting with trump special guest,1,en,"['nepo', 'barbie', 'princess', 'shambassador', 'got', 'trademarks', 'china', 'trade', 'negotiations', 'sitting', 'trump', 'special', 'guest']"
62,291757,trump this is what happens when you don t pass a fucking stimulusbill ass hat,-1,en,"['trump', 'happens', 'pass', 'fucking', 'stimulusbill', 'ass', 'hat']"
64,185855,biden landed his first punch when trump danced around this q5 q4a q3b question on dr fauci amp listening to scientists fack checkers woke up more bc biden validly pointed out that the trump administration knew about this coronavirus threat earlier than late feb debates,1,en,"['biden', 'landed', 'first', 'punch', 'trump', 'danced', 'around', 'q5', 'q4a', 'q3b', 'question', 'dr', 'fauci', 'amp', 'listening', 'scientists', 'fack', 'checkers', 'woke', 'bc', 'biden', 'validly', 'pointed', 'trump', 'administration', 'knew', 'coronavirus', 'threat', 'earlier', 'late', 'feb', 'debates']"
65,508376,trump is openly encouraging followers to use violence intimidation against biden s supporters amp campaign representatives we ve already begun to see violence amp will likely begin to see much more largely fueled by trump himself amp his irresponsible inflammatory rhetoric,1,en,"['trump', 'openly', 'encouraging', 'followers', 'use', 'violence', 'intimidation', 'biden', 'supporters', 'amp', 'campaign', 'representatives', 'already', 'begun', 'see', 'violence', 'amp', 'likely', 'begin', 'see', 'much', 'largely', 'fueled', 'trump', 'amp', 'irresponsible', 'inflammatory', 'rhetoric']"
66,821786,as trump is going down like the titanic new york post shifts tone in an about face trumpislosing trumpmeltdown trumpisalaughingstock votehimout2020 votebluedowntheballot trumpcollapse trumpliesamericansdie bidenharris2020 trumpcrimefamily fbr,-1,en,"['trump', 'going', 'like', 'titanic', 'new', 'york', 'post', 'shifts', 'tone', 'face', 'trumpislosing', 'trumpmeltdown', 'trumpisalaughingstock', 'votehimout2020', 'votebluedowntheballot', 'trumpcollapse', 'trumpliesamericansdie', 'bidenharris2020', 'trumpcrimefamily', 'fbr']"
70,339482,trump leads in texas by over 1 million votes shattering his 2016 margin already trump2020 trump election elections2020 election2020,0,en,"['trump', 'leads', 'texas', '1', 'million', 'votes', 'shattering', '2016', 'margin', 'already', 'trump2020', 'trump', 'election', 'elections2020', 'election2020']"
72,933934,california voted biden harris to get her out of their state trump,0,en,"['california', 'voted', 'biden', 'harris', 'get', 'state', 'trump']"
73,299977,what an ignorant and confused fool based on hashtags your squawking about tells us you re just a conspiracy bigot pushing bogus trump propaganda you idiot trending isn t based on number of tweets it s based on recency relevance engagement amp rate of growth no one cares,-1,en,"['ignorant', 'confused', 'fool', 'based', 'hashtags', 'squawking', 'tells', 'us', 'conspiracy', 'bigot', 'pushing', 'bogus', 'trump', 'propaganda', 'idiot', 'trending', 'based', 'number', 'tweets', 'based', 'recency', 'relevance', 'engagement', 'amp', 'rate', 'growth', 'one', 'cares']"
74,598076,usaelections2020 readfortoday don t mix your politics with your portfolio trump biden polls americadecides2020 electionnight investing fundsindia stockmarket,0,en,"['usaelections2020', 'readfortoday', 'mix', 'politics', 'portfolio', 'trump', 'biden', 'polls', 'americadecides2020', 'electionnight', 'investing', 'fundsindia', 'stockmarket']"
79,736814,how increased his support among black men w 1 in 5 voting for him as s drops 15 compared to in 2008 hint biden s a racist amp trump isn t election2020 votes,-1,en,"['increased', 'support', 'among', 'black', 'men', 'w', '1', '5', 'voting', 'drops', '15', 'compared', '2008', 'hint', 'biden', 'racist', 'amp', 'trump', 'election2020', 'votes']"
80,709332,four more years with trump would be devastating for the free amp democratic world under his four years we have seen how the relations with eu have detoriated dictators and strongmen have advanced their positions,1,en,"['four', 'years', 'trump', 'would', 'devastating', 'free', 'amp', 'democratic', 'world', 'four', 'years', 'seen', 'relations', 'eu', 'detoriated', 'dictators', 'strongmen', 'advanced', 'positions']"
82,658565,from what i m hearing trump is panicking because without the office of the president to act as a shield he s looking at prison as a realistic option to his last year s at least the jumpsuit will match his skin trumpsfuture trumpvsbiden corruption elections2020,-1,en,"['hearing', 'trump', 'panicking', 'without', 'office', 'president', 'act', 'shield', 'looking', 'prison', 'realistic', 'option', 'last', 'year', 'least', 'jumpsuit', 'match', 'skin', 'trumpsfuture', 'trumpvsbiden', 'corruption', 'elections2020']"
85,179276,when trump said good in regards to stripping children from their parents i heard it online it didn t feel good gop republicans maga immigrants conservatives,1,en,"['trump', 'said', 'good', 'regards', 'stripping', 'children', 'parents', 'heard', 'online', 'feel', 'good', 'gop', 'republicans', 'maga', 'immigrants', 'conservatives']"
86,889414,trump s political demise is already a victory to all peace loving people in the world however i honestly hope you do not forget the rest of the world otherwise congrats and,1,en,"['trump', 'political', 'demise', 'already', 'victory', 'peace', 'loving', 'people', 'world', 'however', 'honestly', 'hope', 'forget', 'rest', 'world', 'otherwise', 'congrats']"
89,288150,continued kamala claims that president trump had weird obsessions kamala calls for an expansion of healthcare from the neck up,-1,en,"['continued', 'kamala', 'claims', 'president', 'trump', 'weird', 'obsessions', 'kamala', 'calls', 'expansion', 'healthcare', 'neck']"
95,683698,nope they re all buried in trump s back pockets,0,en,"['nope', 'buried', 'trump', 'back', 'pockets']"
96,453928,here s a very christian like trump making fun of a disabled reporter so christian vote bidenharris2020tosaveamerica trump,1,en,"['christian', 'like', 'trump', 'making', 'fun', 'disabled', 'reporter', 'christian', 'vote', 'bidenharris2020tosaveamerica', 'trump']"
97,808829,column trump s defeat was supposed to launch a new progressive era so what happened,1,en,"['column', 'trump', 'defeat', 'supposed', 'launch', 'new', 'progressive', 'era', 'happened']"
98,661523,donaldtrump described in 2 words malignant narcissist malignantnarcissism canceldonaldtrump donaldtrumpyourefired movebitchgetouttheway,0,en,"['donaldtrump', 'described', '2', 'words', 'malignant', 'narcissist', 'malignantnarcissism', 'canceldonaldtrump', 'donaldtrumpyourefired', 'movebitchgetouttheway']"
100,600196,usaelections2020 bidenharris2020 trump,0,en,"['usaelections2020', 'bidenharris2020', 'trump']"
101,474801,who will be president president joebiden vote trump2020 trump elecciones2020,0,en,"['president', 'president', 'joebiden', 'vote', 'trump2020', 'trump', 'elecciones2020']"
103,159142,watching this trump 60minutes interview amp wondering how on earth the impeached president thinks releasing this helps his reelection this is insanity,0,en,"['watching', 'trump', '60minutes', 'interview', 'amp', 'wondering', 'earth', 'impeached', 'president', 'thinks', 'releasing', 'helps', 'reelection', 'insanity']"
105,453898,you pos media can t just own the fact that the left are both a liars or b too stupid to figure it out without dragging a trump thru the mud to get there,-1,en,"['pos', 'media', 'fact', 'left', 'liars', 'b', 'stupid', 'figure', 'without', 'dragging', 'trump', 'thru', 'mud', 'get']"
109,36643,nbc host to trump you re not someone s crazy uncle who can just retweet whatever trumptownhall,-1,en,"['nbc', 'host', 'trump', 'someone', 'crazy', 'uncle', 'retweet', 'whatever', 'trumptownhall']"
110,618286,this will further burden lebanon s incapacitated economy the trump administration will maintain the option of sanctions against hezbollah and their allies in lebanon and iran s friends in the region 19 24,0,en,"['burden', 'lebanon', 'incapacitated', 'economy', 'trump', 'administration', 'maintain', 'option', 'sanctions', 'hezbollah', 'allies', 'lebanon', 'iran', 'friends', 'region', '19', '24']"
111,356671,omg you are always so proud are u also proud of how ur support for trump amp his lies has enabled his failure to deal with covid19 pandemic claiming 230 000 american lives now over 1000 a day proud of how new cases are spiking in clarkcounty,1,en,"['omg', 'always', 'proud', 'u', 'also', 'proud', 'ur', 'support', 'trump', 'amp', 'lies', 'enabled', 'failure', 'deal', 'covid19', 'pandemic', 'claiming', '230', '000', 'american', 'lives', '1000', 'day', 'proud', 'new', 'cases', 'spiking', 'clarkcounty']"
112,944975,once the election is over magically the virus will dissapear one of 20 000 trump lies maga trump maga2020 biden46 biden46th fox gop uselection,1,en,"['election', 'magically', 'virus', 'dissapear', 'one', '20', '000', 'trump', 'lies', 'maga', 'trump', 'maga2020', 'biden46', 'biden46th', 'fox', 'gop', 'uselection']"
114,750829,trump family call on republican leaders to pledge support his children and closest allies have accused republican leaders of betraying him by failing to endorse donaldtrump s baseless claims of fraud in the us election via gop republicans,0,en,"['trump', 'family', 'call', 'republican', 'leaders', 'pledge', 'support', 'children', 'closest', 'allies', 'accused', 'republican', 'leaders', 'betraying', 'failing', 'endorse', 'donaldtrump', 'baseless', 'claims', 'fraud', 'us', 'election', 'via', 'gop', 'republicans']"
115,236494,headlines across the country should read trump wh surrendered to covid pandemic good luck every person for himself,1,en,"['headlines', 'across', 'country', 'read', 'trump', 'wh', 'surrendered', 'covid', 'pandemic', 'good', 'luck', 'every', 'person']"
116,113188,corruption racism mass death amp economic collapse the legacy of donaldtrump no doubt it will read like that trumpsamerica trumpisa danger toamerica trumpliespeopledie trumpisanationaldisgrace trumpgenocide trumpcorruption trumpvirus trumpisaracist,1,en,"['corruption', 'racism', 'mass', 'death', 'amp', 'economic', 'collapse', 'legacy', 'donaldtrump', 'doubt', 'read', 'like', 'trumpsamerica', 'trumpisa', 'danger', 'toamerica', 'trumpliespeopledie', 'trumpisanationaldisgrace', 'trumpgenocide', 'trumpcorruption', 'trumpvirus', 'trumpisaracist']"
118,480495,vahini04 divya 4 50 36 pm remov horrible pic of god pls sign petition 15k signd atheists go to china parisbeheading rss bjp trump biggboss4telugu biggboss4telugu biggbosstelugu4 bbtamilseason4 biggbosstamil4 biggboss4tamil,-1,en,"['vahini04', 'divya', '4', '50', '36', 'pm', 'remov', 'horrible', 'pic', 'god', 'pls', 'sign', 'petition', '15k', 'signd', 'atheists', 'go', 'china', 'parisbeheading', 'rss', 'bjp', 'trump', 'biggboss4telugu', 'biggboss4telugu', 'biggbosstelugu4', 'bbtamilseason4', 'biggbosstamil4', 'biggboss4tamil']"
119,442992,why is it in quotes you re losing it donny trumpcollapse trump dumptrump2020,0,en,"['quotes', 'losing', 'donny', 'trumpcollapse', 'trump', 'dumptrump2020']"
121,197517,trump ivankatrump ivankachina complicit daddydoesntloveyou,0,en,"['trump', 'ivankatrump', 'ivankachina', 'complicit', 'daddydoesntloveyou']"
124,744259,wow one stupid person calling another stupid person ignorant not wasting anytime w these lift weights i just don t get republicans trump,-1,en,"['wow', 'one', 'stupid', 'person', 'calling', 'another', 'stupid', 'person', 'ignorant', 'wasting', 'anytime', 'w', 'lift', 'weights', 'get', 'republicans', 'trump']"
125,470534,joebiden it s in the people s hands trump vote for me then drop dead,-1,en,"['joebiden', 'people', 'hands', 'trump', 'vote', 'drop', 'dead']"
130,176941,trump weakened environmentprotections,0,en,"['trump', 'weakened', 'environmentprotections']"
131,587058,anyone else think usa heading for civil war trump,0,en,"['anyone', 'else', 'think', 'usa', 'heading', 'civil', 'war', 'trump']"
132,138294,we need a president right now what we have is not a president trump is not a president,1,en,"['need', 'president', 'right', 'president', 'trump', 'president']"
134,361813,antifa planning major blitz of voting centers in major us cities on election day to deter people from voting for trump blm uselections2020,1,en,"['antifa', 'planning', 'major', 'blitz', 'voting', 'centers', 'major', 'us', 'cities', 'election', 'day', 'deter', 'people', 'voting', 'trump', 'blm', 'uselections2020']"
135,700695,throwbackthursday when this tweet trended when trump was running for president,0,en,"['throwbackthursday', 'tweet', 'trended', 'trump', 'running', 'president']"
136,580832,cbsn s slamming trump for believing that the election could be tampered with due to mail in ballots yet 4 yrs ago they thought accusing hillary s mob crime family of trying to rig the election was ridiculous yet they accused trump of rigging the election colluding with russia,-1,en,"['cbsn', 'slamming', 'trump', 'believing', 'election', 'could', 'tampered', 'due', 'mail', 'ballots', 'yet', '4', 'yrs', 'ago', 'thought', 'accusing', 'hillary', 'mob', 'crime', 'family', 'trying', 'rig', 'election', 'ridiculous', 'yet', 'accused', 'trump', 'rigging', 'election', 'colluding', 'russia']"
137,611910,who is gonna win the us elections trump biden 2020election usavotes 270race,1,en,"['gon', 'na', 'win', 'us', 'elections', 'trump', 'biden', '2020election', 'usavotes', '270race']"
138,233181,now we will hear trump praising for joining the dark side traitorlisa traitortrump traitorssupporttraitortrump lisamurkowski amycomeybarrett will take away human rights,-1,en,"['hear', 'trump', 'praising', 'joining', 'dark', 'side', 'traitorlisa', 'traitortrump', 'traitorssupporttraitortrump', 'lisamurkowski', 'amycomeybarrett', 'take', 'away', 'human', 'rights']"
140,711043,where are the vote counts this bullshit 2020elections 2020electionthoughts maga trumpvsbiden trump,0,en,"['vote', 'counts', 'bullshit', '2020elections', '2020electionthoughts', 'maga', 'trumpvsbiden', 'trump']"
141,136075,and trump too,0,en,['trump']
144,85718,wait is that the same healthcare plan trump was going to implement on day 1 in office trumpisafailure,0,en,"['wait', 'healthcare', 'plan', 'trump', 'going', 'implement', 'day', '1', 'office', 'trumpisafailure']"
145,242330,i m shocked by the abdication of responsibility by republicans if they d done their job as separate branch of govmnt trump wouldhave been contained siding with him 100 ensured we are now faced w concurrent disasters getting exponentially worse gop,-1,en,"['shocked', 'abdication', 'responsibility', 'republicans', 'done', 'job', 'separate', 'branch', 'govmnt', 'trump', 'wouldhave', 'contained', 'siding', '100', 'ensured', 'faced', 'w', 'concurrent', 'disasters', 'getting', 'exponentially', 'worse', 'gop']"
148,696708,not their fault shows the state of usa that they cannot organise a simple count in under 24 hours but the main delay is trump getting republican states to refuse to count mail votes in advance so they could cause trouble which they are doing,-1,en,"['fault', 'shows', 'state', 'usa', 'organise', 'simple', 'count', '24', 'hours', 'main', 'delay', 'trump', 'getting', 'republican', 'states', 'refuse', 'count', 'mail', 'votes', 'advance', 'could', 'cause', 'trouble']"
149,553287,mexico support joebiden electionnight fuck racism buildbridgesnotwalls elecciones2020 elections2020 electionday trump fuckyoutrump blacklivesmatter mexicosupportbiden,-1,en,"['mexico', 'support', 'joebiden', 'electionnight', 'fuck', 'racism', 'buildbridgesnotwalls', 'elecciones2020', 'elections2020', 'electionday', 'trump', 'fuckyoutrump', 'blacklivesmatter', 'mexicosupportbiden']"
150,714178,it s bad enough that the media celebrities and athletes continuously corrupt the minds of millions of people with democrat misinformation but we are nothing without a safe and reliable voting system maga maga2020 donaldtrump elections2020,-1,en,"['bad', 'enough', 'media', 'celebrities', 'athletes', 'continuously', 'corrupt', 'minds', 'millions', 'people', 'democrat', 'misinformation', 'nothing', 'without', 'safe', 'reliable', 'voting', 'system', 'maga', 'maga2020', 'donaldtrump', 'elections2020']"
151,856018,why in the fuck would they let humans that have a bias count the votes election2020 biden trump i dont give a fuck about either party but seriously why let humans count the votes specially if they have a bias towards republicans or democrats,-1,en,"['fuck', 'would', 'let', 'humans', 'bias', 'count', 'votes', 'election2020', 'biden', 'trump', 'dont', 'give', 'fuck', 'either', 'party', 'seriously', 'let', 'humans', 'count', 'votes', 'specially', 'bias', 'towards', 'republicans', 'democrats']"
